"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"235","[CUDA memcpy HtoD]",31744,0,5.059194,1.312e-06,6.484985e-05,0.04827,"Tesla K20c (0)",1,7
"236","[CUDA memcpy HtoD]",31744,0,5.059767,0.00074021,2.058659,2.715998,"Tesla K20c (0)",1,7
"237","[CUDA memcpy HtoD]",31744,0,5.060793,0.000460588,2.058659,4.364874,"Tesla K20c (0)",1,7
"239","[CUDA memcpy DtoH]",31744,0,5.06143,2.1728e-05,0.121098,5.442716,"Tesla K20c (0)",1,7
"240","[CUDA memcpy DtoH]",31744,0,5.061509,0.000429643,2.058659,4.679254,"Tesla K20c (0)",1,7
"241","[CUDA memcpy HtoD]",32768,0,4.864279,2.3936e-05,0.125004,5.100018,"Tesla K20c (0)",1,7
"242","[CUDA memcpy HtoD]",32768,0,4.864784,0.000667409,2.125065,3.109426,"Tesla K20c (0)",1,7
"244","[CUDA memcpy DtoH]",32768,0,4.865565,2.2272e-05,0.125,5.480887,"Tesla K20c (0)",1,7
"245","[CUDA memcpy HtoD]",32768,0,4.865933,1.312e-06,6.484985e-05,0.04827,"Tesla K20c (0)",1,7
"246","[CUDA memcpy HtoD]",32768,0,4.866415,0.000664945,2.125065,3.120948,"Tesla K20c (0)",1,7
"247","[CUDA memcpy HtoD]",32768,0,4.867349,0.000449003,2.125065,4.621926,"Tesla K20c (0)",1,7
"249","[CUDA memcpy DtoH]",32768,0,4.867979,2.2272e-05,0.125004,5.481054,"Tesla K20c (0)",1,7
"250","[CUDA memcpy DtoH]",32768,0,4.868044,0.000396778,2.125065,5.230276,"Tesla K20c (0)",1,7
"251","[CUDA memcpy HtoD]",33792,0,4.913096,2.4417e-05,0.12891,5.155782,"Tesla K20c (0)",1,7
"252","[CUDA memcpy HtoD]",33792,0,4.913706,0.000744914,2.191471,2.87296,"Tesla K20c (0)",1,7
"254","[CUDA memcpy DtoH]",33792,0,4.914577,2.2881e-05,0.128906,5.501727,"Tesla K20c (0)",1,7
"255","[CUDA memcpy HtoD]",33792,0,4.915041,1.28e-06,6.484985e-05,0.049477,"Tesla K20c (0)",1,7
"256","[CUDA memcpy HtoD]",33792,0,4.915358,0.000503084,2.191471,4.253978,"Tesla K20c (0)",1,7
"257","[CUDA memcpy HtoD]",33792,0,4.916149,0.000482156,2.191471,4.438623,"Tesla K20c (0)",1,7
"259","[CUDA memcpy DtoH]",33792,0,4.916817,2.2913e-05,0.12891,5.494206,"Tesla K20c (0)",1,7
"260","[CUDA memcpy DtoH]",33792,0,4.916895,0.000448523,2.191471,4.771458,"Tesla K20c (0)",1,7
"261","[CUDA memcpy HtoD]",34816,0,4.998912,2.5313e-05,0.132816,5.123985,"Tesla K20c (0)",1,7
"262","[CUDA memcpy HtoD]",34816,0,4.999317,0.000509453,2.257877,4.32809,"Tesla K20c (0)",1,7
"264","[CUDA memcpy DtoH]",34816,0,4.999954,2.3585e-05,0.132812,5.499246,"Tesla K20c (0)",1,7
"265","[CUDA memcpy HtoD]",34816,0,5.000437,1.344e-06,6.484985e-05,0.04712,"Tesla K20c (0)",1,7
"266","[CUDA memcpy HtoD]",34816,0,5.001003,0.000769715,2.257877,2.864643,"Tesla K20c (0)",1,7
"267","[CUDA memcpy HtoD]",34816,0,5.002057,0.000496365,2.257877,4.442212,"Tesla K20c (0)",1,7
"269","[CUDA memcpy DtoH]",34816,0,5.002744,2.3648e-05,0.132816,5.484753,"Tesla K20c (0)",1,7
"270","[CUDA memcpy DtoH]",34816,0,5.002829,0.000479788,2.257877,4.595693,"Tesla K20c (0)",1,7
"271","[CUDA memcpy HtoD]",35840,0,4.936669,2.5857e-05,0.136723,5.163713,"Tesla K20c (0)",1,7
"272","[CUDA memcpy HtoD]",35840,0,4.937259,0.000797012,2.324284,2.847897,"Tesla K20c (0)",1,7
"274","[CUDA memcpy DtoH]",35840,0,4.938193,2.4097e-05,0.136719,5.540706,"Tesla K20c (0)",1,7
"275","[CUDA memcpy HtoD]",35840,0,4.938679,1.28e-06,6.484985e-05,0.049477,"Tesla K20c (0)",1,7
"276","[CUDA memcpy HtoD]",35840,0,4.939248,0.000805108,2.324284,2.819259,"Tesla K20c (0)",1,7
"277","[CUDA memcpy HtoD]",35840,0,4.940341,0.000504045,2.324284,4.503186,"Tesla K20c (0)",1,7
"279","[CUDA memcpy DtoH]",35840,0,4.941043,2.416e-05,0.136723,5.526413,"Tesla K20c (0)",1,7
